candidate_domain,candidate_skills,candidate_years_experience,candidate_education,cv_text,job_domain,job_skills,job_years_required,job_description,relevance_score
Gestion de Projet,Agile;Scrum;PMP;Gestion des risques;Budget projet;Planification;PRINCE2;Reporting projet,7,Doctorat (PhD),"Candidat motivé, 7 ans d'expérience en Gestion de Projet, Doctorat (PhD). Compétences techniques maîtrisées : Agile, Scrum, PMP, Gestion des risques, Budget projet, Planification, PRINCE2, Reporting projet. Domaine principal : Gestion de Projet. Qualités personnelles : résolution de problèmes, esprit d'équipe, curiosité.",Gestion de Projet,Kanban;Jira;Gestion des risques;Scrum;Budget projet;Confluence;PMP;Reporting projet;Planification,1,"Offre d'emploi : spécialiste Gestion de Projet, expérience minimale de 1 ans. Compétences requises : Kanban, Jira, Gestion des risques, Scrum, Budget projet, Confluence, PMP, Reporting projet, Planification. Le candidat idéal maîtrise ces technologies et outils dans un contexte Gestion de Projet.",85.16
Data Science / Intelligence Artificielle,ETL;Tableau;Statistiques;Python;Spark;Power BI;Machine Learning;Feature Engineering;Big Data;NLP;A/B Testing;scikit-learn,8,Bac+5 (Master / Ingénieur),"Marwa - Bac+5 (Master / Ingénieur) - 8 années d'expérience professionnelle en Data Science / Intelligence Artificielle. A travaillé pendant 8 ans sur des projets liés à Data Science / Intelligence Artificielle, en mettant en œuvre ETL, Tableau, Statistiques, Python, Spark, Power BI, Machine Learning, Feature Engineering, Big Data, NLP, A/B Testing, scikit-learn. Qualités personnelles : curiosité, esprit critique, communication.",Finance / Comptabilité,Comptabilité générale;Fiscalité;Audit financier;Modélisation financière;Reporting financier,1,"Offre d'emploi : spécialiste Finance / Comptabilité, expérience minimale de 1 ans. Compétences requises : Comptabilité générale, Fiscalité, Audit financier, Modélisation financière, Reporting financier. Le candidat idéal maîtrise ces technologies et outils dans un contexte Finance / Comptabilité.",52.67
Ressources Humaines,SuccessFactors;Onboarding;Recrutement;Droit du travail;SIRH;SOC,1,Doctorat (PhD),"Aziz - Doctorat (PhD) - 1 années d'expérience professionnelle en Ressources Humaines. Expérience professionnelle de 1 ans incluant l'utilisation de SuccessFactors, Onboarding, Recrutement, Droit du travail, SIRH, SOC dans des projets Ressources Humaines. Qualités personnelles : résolution de problèmes, leadership, curiosité.",Ressources Humaines,Workday;Relations sociales;SIRH;Droit du travail,2,"Nous recherchons un profil Ressources Humaines justifiant d'au moins 2 ans d'expérience. Compétences requises : Workday, Relations sociales, SIRH, Droit du travail. Le candidat idéal maîtrise ces technologies et outils dans un contexte Ressources Humaines.",41.78
Marketing Digital,Stratégie digitale;Facebook Ads;Email Marketing;Content Marketing;Google Ads;Copywriting;HubSpot;Branding;Réseaux sociaux;Community Management;Gestion des talents,6,Bac+2 (BTS/DUT),"Candidat motivé, 6 ans d'expérience en Marketing Digital, Bac+2 (BTS/DUT). Compétences techniques maîtrisées : Stratégie digitale, Facebook Ads, Email Marketing, Content Marketing, Google Ads, Copywriting, HubSpot, Branding, Réseaux sociaux, Community Management, Gestion des talents. Domaine principal : Marketing Digital. Qualités personnelles : autonomie, résolution de problèmes, adaptabilité.",Marketing Digital,HubSpot;Facebook Ads;Réseaux sociaux;Community Management,3,"Offre d'emploi : spécialiste Marketing Digital, expérience minimale de 3 ans. Compétences requises : HubSpot, Facebook Ads, Réseaux sociaux, Community Management. Le candidat idéal maîtrise ces technologies et outils dans un contexte Marketing Digital.",91.06
Finance / Comptabilité,Trésorerie;Budgétisation;SAP;Reporting financier;Comptabilité générale;Analyse financière;Modélisation financière;Fiscalité;Power BI,4,Doctorat (PhD),"Profil Finance / Comptabilité avec 4 ans d'expérience. Diplôme : Doctorat (PhD). A travaillé pendant 4 ans sur des projets liés à Finance / Comptabilité, en mettant en œuvre Trésorerie, Budgétisation, SAP, Reporting financier, Comptabilité générale, Analyse financière, Modélisation financière, Fiscalité, Power BI. Qualités personnelles : autonomie, créativité, sens de l'organisation.",Finance / Comptabilité,Excel avancé;Power BI;Reporting financier;Fiscalité,2,"Poste ouvert dans le domaine Finance / Comptabilité, 2 ans d'expérience minimum requis. Compétences requises : Excel avancé, Power BI, Reporting financier, Fiscalité. Le candidat idéal maîtrise ces technologies et outils dans un contexte Finance / Comptabilité.",84.52
Gestion de Projet,Planification;Reporting projet;Agile;Budget projet;Kanban;MS Project;Confluence;PMP;Product Owner,2,Bac+3 (Licence),"Profil Gestion de Projet avec 2 ans d'expérience. Diplôme : Bac+3 (Licence). A travaillé pendant 2 ans sur des projets liés à Gestion de Projet, en mettant en œuvre Planification, Reporting projet, Agile, Budget projet, Kanban, MS Project, Confluence, PMP, Product Owner. Qualités personnelles : esprit d'équipe, autonomie, sens de l'organisation.",Gestion de Projet,Agile;Jira;Reporting projet;Planification;PMP;Roadmap produit;Product Owner;PRINCE2,0,"Nous recherchons un profil Gestion de Projet justifiant d'au moins 0 ans d'expérience. Compétences requises : Agile, Jira, Reporting projet, Planification, PMP, Roadmap produit, Product Owner, PRINCE2. Le candidat idéal maîtrise ces technologies et outils dans un contexte Gestion de Projet.",69.77
Data Science / Intelligence Artificielle,ETL;Feature Engineering;SQL;Big Data;A/B Testing;Jira,8,Bac+3 (Licence),"Rim - Bac+3 (Licence) - 8 années d'expérience professionnelle en Data Science / Intelligence Artificielle. A travaillé pendant 8 ans sur des projets liés à Data Science / Intelligence Artificielle, en mettant en œuvre ETL, Feature Engineering, SQL, Big Data, A/B Testing, Jira. Qualités personnelles : curiosité, esprit critique, autonomie.",Gestion de Projet,Agile;PMP;Kanban;Reporting projet;Planification,0,"Poste ouvert dans le domaine Gestion de Projet, 0 ans d'expérience minimum requis. Compétences requises : Agile, PMP, Kanban, Reporting projet, Planification. Le candidat idéal maîtrise ces technologies et outils dans un contexte Gestion de Projet.",47.62
Réseaux / Systèmes,Supervision réseau;Linux;Sécurité réseau;VMware;DNS;DHCP,0,Bac+5 (Master / Ingénieur),"Candidat motivé, 0 ans d'expérience en Réseaux / Systèmes, Bac+5 (Master / Ingénieur). Compétences techniques maîtrisées : Supervision réseau, Linux, Sécurité réseau, VMware, DNS, DHCP. Domaine principal : Réseaux / Systèmes. Qualités personnelles : communication, autonomie, gestion du stress.",Réseaux / Systèmes,DHCP;Cisco;VPN;Virtualisation;Active Directory;Switching;Sécurité réseau,1,"Poste ouvert dans le domaine Réseaux / Systèmes, 1 ans d'expérience minimum requis. Compétences requises : DHCP, Cisco, VPN, Virtualisation, Active Directory, Switching, Sécurité réseau. Le candidat idéal maîtrise ces technologies et outils dans un contexte Réseaux / Systèmes.",20.12
Réseaux / Systèmes,Virtualisation;Routage;TCP/IP;PowerShell;VPN;VMware,2,Bac+2 (BTS/DUT),"Yassine - Bac+2 (BTS/DUT) - 2 années d'expérience professionnelle en Réseaux / Systèmes. A travaillé pendant 2 ans sur des projets liés à Réseaux / Systèmes, en mettant en œuvre Virtualisation, Routage, TCP/IP, PowerShell, VPN, VMware. Qualités personnelles : esprit critique, résolution de problèmes, adaptabilité.",Réseaux / Systèmes,Supervision réseau;VPN;Linux;Sécurité réseau;Cisco;Active Directory,5,"Offre d'emploi : spécialiste Réseaux / Systèmes, expérience minimale de 5 ans. Compétences requises : Supervision réseau, VPN, Linux, Sécurité réseau, Cisco, Active Directory. Le candidat idéal maîtrise ces technologies et outils dans un contexte Réseaux / Systèmes.",31.05
DevOps / Cloud,GCP;Azure;Networking;Infrastructure as Code,7,Bac+5 (Master / Ingénieur),"Profil DevOps / Cloud avec 7 ans d'expérience. Diplôme : Bac+5 (Master / Ingénieur). Compétences techniques maîtrisées : GCP, Azure, Networking, Infrastructure as Code. Domaine principal : DevOps / Cloud. Qualités personnelles : leadership, créativité, esprit d'équipe.",DevOps / Cloud,Helm;CI/CD;Networking;Nginx;Jenkins;Monitoring;Cloud Security;Vagrant;Azure,7,"Nous recherchons un profil DevOps / Cloud justifiant d'au moins 7 ans d'expérience. Compétences requises : Helm, CI/CD, Networking, Nginx, Jenkins, Monitoring, Cloud Security, Vagrant, Azure. Le candidat idéal maîtrise ces technologies et outils dans un contexte DevOps / Cloud.",58.21
DevOps / Cloud,Linux;Vagrant;Bash;Monitoring;Kubernetes;Cloud Security,3,Doctorat (PhD),"Rim, Doctorat (PhD), 3 ans d'expérience dans le domaine DevOps / Cloud. Expérience professionnelle de 3 ans incluant l'utilisation de Linux, Vagrant, Bash, Monitoring, Kubernetes, Cloud Security dans des projets DevOps / Cloud. Qualités personnelles : rigueur, sens de l'organisation, communication.",DevOps / Cloud,Kubernetes;Docker;Azure;CI/CD;Monitoring,5,"Poste ouvert dans le domaine DevOps / Cloud, 5 ans d'expérience minimum requis. Compétences requises : Kubernetes, Docker, Azure, CI/CD, Monitoring. Le candidat idéal maîtrise ces technologies et outils dans un contexte DevOps / Cloud.",50.2
Cybersécurité,Cryptographie;Kali Linux;Wireshark;Audit de sécurité;OWASP;Firewall;SOC monitoring;Entretien annuel,9,Bac+5 (Master / Ingénieur),"Candidat motivé, 9 ans d'expérience en Cybersécurité, Bac+5 (Master / Ingénieur). A travaillé pendant 9 ans sur des projets liés à Cybersécurité, en mettant en œuvre Cryptographie, Kali Linux, Wireshark, Audit de sécurité, OWASP, Firewall, SOC monitoring, Entretien annuel. Qualités personnelles : rigueur, créativité, gestion du stress.",Cybersécurité,Kali Linux;Incident Response;Gestion des risques;Pentest;Ethical Hacking;SOC,3,"Nous recherchons un profil Cybersécurité justifiant d'au moins 3 ans d'expérience. Compétences requises : Kali Linux, Incident Response, Gestion des risques, Pentest, Ethical Hacking, SOC. Le candidat idéal maîtrise ces technologies et outils dans un contexte Cybersécurité.",57.5
Design UI/UX,Adobe XD;Wireframing;Prototypage;User Research;Illustrator;After Effects;Motion Design;Design Thinking;Design System;UX Writing,5,Bac+5 (Master / Ingénieur),"Molka, Bac+5 (Master / Ingénieur), 5 ans d'expérience dans le domaine Design UI/UX. A travaillé pendant 5 ans sur des projets liés à Design UI/UX, en mettant en œuvre Adobe XD, Wireframing, Prototypage, User Research, Illustrator, After Effects, Motion Design, Design Thinking, Design System, UX Writing. Qualités personnelles : communication, leadership, gestion du stress.",Finance / Comptabilité,Fiscalité;Power BI;Contrôle de gestion;Excel avancé;Trésorerie;Audit financier;Budgétisation;Comptabilité générale,0,"Nous recherchons un profil Finance / Comptabilité justifiant d'au moins 0 ans d'expérience. Compétences requises : Fiscalité, Power BI, Contrôle de gestion, Excel avancé, Trésorerie, Audit financier, Budgétisation, Comptabilité générale. Le candidat idéal maîtrise ces technologies et outils dans un contexte Finance / Comptabilité.",46.08
DevOps / Cloud,Cloud Security;Load Balancing;Kubernetes;Linux;Infrastructure as Code;Terraform,6,Bac+5 (Master / Ingénieur),"Aziz - Bac+5 (Master / Ingénieur) - 6 années d'expérience professionnelle en DevOps / Cloud. Compétences techniques maîtrisées : Cloud Security, Load Balancing, Kubernetes, Linux, Infrastructure as Code, Terraform. Domaine principal : DevOps / Cloud. Qualités personnelles : gestion du stress, résolution de problèmes, esprit critique.",DevOps / Cloud,Infrastructure as Code;CI/CD;Nginx;AWS;Bash;Linux;Docker;Ansible;Networking,2,"Offre d'emploi : spécialiste DevOps / Cloud, expérience minimale de 2 ans. Compétences requises : Infrastructure as Code, CI/CD, Nginx, AWS, Bash, Linux, Docker, Ansible, Networking. Le candidat idéal maîtrise ces technologies et outils dans un contexte DevOps / Cloud.",57.79
Développement Logiciel,Python;MySQL;Kubernetes;TypeScript;Git;MongoDB;Maven,5,Doctorat (PhD),"Candidat motivé, 5 ans d'expérience en Développement Logiciel, Doctorat (PhD). A travaillé pendant 5 ans sur des projets liés à Développement Logiciel, en mettant en œuvre Python, MySQL, Kubernetes, TypeScript, Git, MongoDB, Maven. Qualités personnelles : esprit critique, rigueur, esprit d'équipe.",Développement Logiciel,React;Angular;Java;Docker;Express;Microservices;JavaScript;CSS;JUnit,1,"Poste ouvert dans le domaine Développement Logiciel, 1 ans d'expérience minimum requis. Compétences requises : React, Angular, Java, Docker, Express, Microservices, JavaScript, CSS, JUnit. Le candidat idéal maîtrise ces technologies et outils dans un contexte Développement Logiciel.",59.15
Réseaux / Systèmes,Routage;Active Directory;VPN;TCP/IP,8,Doctorat (PhD),"Candidat motivé, 8 ans d'expérience en Réseaux / Systèmes, Doctorat (PhD). Compétences techniques maîtrisées : Routage, Active Directory, VPN, TCP/IP. Domaine principal : Réseaux / Systèmes. Qualités personnelles : leadership, gestion du stress, autonomie.",Réseaux / Systèmes,Virtualisation;VPN;PowerShell;Cisco;Routage;VMware;DHCP;TCP/IP,1,"Poste ouvert dans le domaine Réseaux / Systèmes, 1 ans d'expérience minimum requis. Compétences requises : Virtualisation, VPN, PowerShell, Cisco, Routage, VMware, DHCP, TCP/IP. Le candidat idéal maîtrise ces technologies et outils dans un contexte Réseaux / Systèmes.",66.16
Réseaux / Systèmes,Routage;TCP/IP;PowerShell;Switching;DHCP;Virtualisation;Cisco;Supervision réseau,13,Bac+3 (Licence),"Ahmed - Bac+3 (Licence) - 13 années d'expérience professionnelle en Réseaux / Systèmes. Expérience professionnelle de 13 ans incluant l'utilisation de Routage, TCP/IP, PowerShell, Switching, DHCP, Virtualisation, Cisco, Supervision réseau dans des projets Réseaux / Systèmes. Qualités personnelles : communication, créativité, résolution de problèmes.",Réseaux / Systèmes,Sécurité réseau;Virtualisation;Switching;Active Directory;VMware;Windows Server;Cisco,7,"Nous recherchons un profil Réseaux / Systèmes justifiant d'au moins 7 ans d'expérience. Compétences requises : Sécurité réseau, Virtualisation, Switching, Active Directory, VMware, Windows Server, Cisco. Le candidat idéal maîtrise ces technologies et outils dans un contexte Réseaux / Systèmes.",67.3
Marketing Digital,CRM;Stratégie digitale;Facebook Ads;Growth Hacking;Réseaux sociaux;Google Ads;SEA;Google Analytics;Community Management;SEO;Content Marketing;Branding,5,Bac+5 (Master / Ingénieur),"Profil Marketing Digital avec 5 ans d'expérience. Diplôme : Bac+5 (Master / Ingénieur). A travaillé pendant 5 ans sur des projets liés à Marketing Digital, en mettant en œuvre CRM, Stratégie digitale, Facebook Ads, Growth Hacking, Réseaux sociaux, Google Ads, SEA, Google Analytics, Community Management, SEO, Content Marketing, Branding. Qualités personnelles : communication, leadership, gestion du stress.",Marketing Digital,Réseaux sociaux;SEO;CRM;Google Ads,3,"Offre d'emploi : spécialiste Marketing Digital, expérience minimale de 3 ans. Compétences requises : Réseaux sociaux, SEO, CRM, Google Ads. Le candidat idéal maîtrise ces technologies et outils dans un contexte Marketing Digital.",90.56
Ressources Humaines,Relations sociales;Recrutement;Gestion des talents;Marque employeur;SIRH;SuccessFactors;Workday;Entretien annuel,5,Bac+3 (Licence),"Profil Ressources Humaines avec 5 ans d'expérience. Diplôme : Bac+3 (Licence). A travaillé pendant 5 ans sur des projets liés à Ressources Humaines, en mettant en œuvre Relations sociales, Recrutement, Gestion des talents, Marque employeur, SIRH, SuccessFactors, Workday, Entretien annuel. Qualités personnelles : leadership, sens de l'organisation, autonomie.",Design UI/UX,Figma;Tests utilisateurs;Motion Design;InVision,0,"Poste ouvert dans le domaine Design UI/UX, 0 ans d'expérience minimum requis. Compétences requises : Figma, Tests utilisateurs, Motion Design, InVision. Le candidat idéal maîtrise ces technologies et outils dans un contexte Design UI/UX.",46.56
Design UI/UX,InVision;User Research;Photoshop;UX Writing;Adobe XD;Prototypage;Sketch;Design System;Illustrator;Accessibilité;Figma;UI Design,6,Doctorat (PhD),"Rim - Doctorat (PhD) - 6 années d'expérience professionnelle en Design UI/UX. Compétences techniques maîtrisées : InVision, User Research, Photoshop, UX Writing, Adobe XD, Prototypage, Sketch, Design System, Illustrator, Accessibilité, Figma, UI Design. Domaine principal : Design UI/UX. Qualités personnelles : esprit critique, rigueur, autonomie.",Design UI/UX,UX Writing;Design Thinking;User Research;Prototypage;Adobe XD;Wireframing;Accessibilité;After Effects;Sketch,1,"Poste ouvert dans le domaine Design UI/UX, 1 ans d'expérience minimum requis. Compétences requises : UX Writing, Design Thinking, User Research, Prototypage, Adobe XD, Wireframing, Accessibilité, After Effects, Sketch. Le candidat idéal maîtrise ces technologies et outils dans un contexte Design UI/UX.",81.22
Marketing Digital,HubSpot;Réseaux sociaux;Marketing Automation;Growth Hacking;Community Management;SEO;Stratégie digitale;Content Marketing,5,Bac+2 (BTS/DUT),"Karim, Bac+2 (BTS/DUT), 5 ans d'expérience dans le domaine Marketing Digital. Compétences techniques maîtrisées : HubSpot, Réseaux sociaux, Marketing Automation, Growth Hacking, Community Management, SEO, Stratégie digitale, Content Marketing. Domaine principal : Marketing Digital. Qualités personnelles : communication, sens de l'organisation, adaptabilité.",Marketing Digital,Marketing Automation;Growth Hacking;SEA;HubSpot;Réseaux sociaux;Content Marketing;Facebook Ads;Google Analytics;CRM,1,"Poste ouvert dans le domaine Marketing Digital, 1 ans d'expérience minimum requis. Compétences requises : Marketing Automation, Growth Hacking, SEA, HubSpot, Réseaux sociaux, Content Marketing, Facebook Ads, Google Analytics, CRM. Le candidat idéal maîtrise ces technologies et outils dans un contexte Marketing Digital.",81.45
DevOps / Cloud,Helm;Ansible;Jenkins;GCP;Load Balancing;Grafana;Bash;Azure;CI/CD;Vagrant;AWS,2,Bac+5 (Master / Ingénieur),"Profil DevOps / Cloud avec 2 ans d'expérience. Diplôme : Bac+5 (Master / Ingénieur). Compétences techniques maîtrisées : Helm, Ansible, Jenkins, GCP, Load Balancing, Grafana, Bash, Azure, CI/CD, Vagrant, AWS. Domaine principal : DevOps / Cloud. Qualités personnelles : résolution de problèmes, autonomie, esprit critique.",DevOps / Cloud,Grafana;Docker;Ansible;Infrastructure as Code;Nginx;GCP;Vagrant;Monitoring,0,"Poste ouvert dans le domaine DevOps / Cloud, 0 ans d'expérience minimum requis. Compétences requises : Grafana, Docker, Ansible, Infrastructure as Code, Nginx, GCP, Vagrant, Monitoring. Le candidat idéal maîtrise ces technologies et outils dans un contexte DevOps / Cloud.",76.96
DevOps / Cloud,Vagrant;CI/CD;AWS;Monitoring;GitLab CI;Cloud Security;Ansible;Networking;Azure;Load Balancing;Nginx,4,Doctorat (PhD),"Marwa, Doctorat (PhD), 4 ans d'expérience dans le domaine DevOps / Cloud. Compétences techniques maîtrisées : Vagrant, CI/CD, AWS, Monitoring, GitLab CI, Cloud Security, Ansible, Networking, Azure, Load Balancing, Nginx. Domaine principal : DevOps / Cloud. Qualités personnelles : esprit d'équipe, communication, sens de l'organisation.",DevOps / Cloud,Terraform;Kubernetes;Prometheus;Bash;Monitoring;Grafana;Helm,3,"Nous recherchons un profil DevOps / Cloud justifiant d'au moins 3 ans d'expérience. Compétences requises : Terraform, Kubernetes, Prometheus, Bash, Monitoring, Grafana, Helm. Le candidat idéal maîtrise ces technologies et outils dans un contexte DevOps / Cloud.",59.56
Réseaux / Systèmes,VPN;Active Directory;Routage;TCP/IP;Windows Server;Cisco;VMware;DHCP;Virtualisation;DNS,12,Bac+5 (Master / Ingénieur),"Candidat motivé, 12 ans d'expérience en Réseaux / Systèmes, Bac+5 (Master / Ingénieur). A travaillé pendant 12 ans sur des projets liés à Réseaux / Systèmes, en mettant en œuvre VPN, Active Directory, Routage, TCP/IP, Windows Server, Cisco, VMware, DHCP, Virtualisation, DNS. Qualités personnelles : rigueur, sens de l'organisation, gestion du stress.",Réseaux / Systèmes,PowerShell;Routage;Switching;Linux;Windows Server,7,"Poste ouvert dans le domaine Réseaux / Systèmes, 7 ans d'expérience minimum requis. Compétences requises : PowerShell, Routage, Switching, Linux, Windows Server. Le candidat idéal maîtrise ces technologies et outils dans un contexte Réseaux / Systèmes.",79.79
Gestion de Projet,Planification;Budget projet;Product Owner;Scrum,5,Bac+3 (Licence),"Amine, Bac+3 (Licence), 5 ans d'expérience dans le domaine Gestion de Projet. Expérience professionnelle de 5 ans incluant l'utilisation de Planification, Budget projet, Product Owner, Scrum dans des projets Gestion de Projet. Qualités personnelles : sens de l'organisation, rigueur, résolution de problèmes.",Gestion de Projet,Reporting projet;Scrum;Kanban;MS Project;Jira;PMP;Confluence;Budget projet;Gestion des risques;Roadmap produit,1,"Poste ouvert dans le domaine Gestion de Projet, 1 ans d'expérience minimum requis. Compétences requises : Reporting projet, Scrum, Kanban, MS Project, Jira, PMP, Confluence, Budget projet, Gestion des risques, Roadmap produit. Le candidat idéal maîtrise ces technologies et outils dans un contexte Gestion de Projet.",64.11
DevOps / Cloud,Infrastructure as Code;Terraform;Prometheus;Helm;Nginx;Azure;Bash;Linux;Grafana;Ansible;GitLab CI;Networking,3,Bac+3 (Licence),"Candidat motivé, 3 ans d'expérience en DevOps / Cloud, Bac+3 (Licence). A travaillé pendant 3 ans sur des projets liés à DevOps / Cloud, en mettant en œuvre Infrastructure as Code, Terraform, Prometheus, Helm, Nginx, Azure, Bash, Linux, Grafana, Ansible, GitLab CI, Networking. Qualités personnelles : adaptabilité, leadership, autonomie.",Réseaux / Systèmes,Sécurité réseau;TCP/IP;VMware;Routage;Active Directory,3,"Nous recherchons un profil Réseaux / Systèmes justifiant d'au moins 3 ans d'expérience. Compétences requises : Sécurité réseau, TCP/IP, VMware, Routage, Active Directory. Le candidat idéal maîtrise ces technologies et outils dans un contexte Réseaux / Systèmes.",52.34
Réseaux / Systèmes,VMware;TCP/IP;Virtualisation;Cisco;Linux;DHCP;Switching;SOC,3,Doctorat (PhD),"Slim - Doctorat (PhD) - 3 années d'expérience professionnelle en Réseaux / Systèmes. Expérience professionnelle de 3 ans incluant l'utilisation de VMware, TCP/IP, Virtualisation, Cisco, Linux, DHCP, Switching, SOC dans des projets Réseaux / Systèmes. Qualités personnelles : esprit critique, créativité, curiosité.",Réseaux / Systèmes,TCP/IP;Switching;Sécurité réseau;Supervision réseau,7,"Offre d'emploi : spécialiste Réseaux / Systèmes, expérience minimale de 7 ans. Compétences requises : TCP/IP, Switching, Sécurité réseau, Supervision réseau. Le candidat idéal maîtrise ces technologies et outils dans un contexte Réseaux / Systèmes.",45.34
Réseaux / Systèmes,PowerShell;Windows Server;TCP/IP;Switching;Linux;DHCP;Routage;VPN,7,Doctorat (PhD),"Profil Réseaux / Systèmes avec 7 ans d'expérience. Diplôme : Doctorat (PhD). Compétences techniques maîtrisées : PowerShell, Windows Server, TCP/IP, Switching, Linux, DHCP, Routage, VPN. Domaine principal : Réseaux / Systèmes. Qualités personnelles : gestion du stress, adaptabilité, leadership.",Réseaux / Systèmes,Virtualisation;VMware;Sécurité réseau;PowerShell;VPN;DHCP;Supervision réseau;Linux;DNS,7,"Poste ouvert dans le domaine Réseaux / Systèmes, 7 ans d'expérience minimum requis. Compétences requises : Virtualisation, VMware, Sécurité réseau, PowerShell, VPN, DHCP, Supervision réseau, Linux, DNS. Le candidat idéal maîtrise ces technologies et outils dans un contexte Réseaux / Systèmes.",82.55
Marketing Digital,Réseaux sociaux;SEO;Facebook Ads;CRM;Marketing Automation;Growth Hacking;Email Marketing,5,Bac+5 (Master / Ingénieur),"Profil Marketing Digital avec 5 ans d'expérience. Diplôme : Bac+5 (Master / Ingénieur). Expérience professionnelle de 5 ans incluant l'utilisation de Réseaux sociaux, SEO, Facebook Ads, CRM, Marketing Automation, Growth Hacking, Email Marketing dans des projets Marketing Digital. Qualités personnelles : rigueur, leadership, créativité.",Réseaux / Systèmes,Cisco;PowerShell;Virtualisation;VMware;DHCP;Sécurité réseau;Supervision réseau;Active Directory,7,"Poste ouvert dans le domaine Réseaux / Systèmes, 7 ans d'expérience minimum requis. Compétences requises : Cisco, PowerShell, Virtualisation, VMware, DHCP, Sécurité réseau, Supervision réseau, Active Directory. Le candidat idéal maîtrise ces technologies et outils dans un contexte Réseaux / Systèmes.",38.62
DevOps / Cloud,Load Balancing;Azure;GCP;Vagrant;CSS,8,Doctorat (PhD),"Profil DevOps / Cloud avec 8 ans d'expérience. Diplôme : Doctorat (PhD). Compétences techniques maîtrisées : Load Balancing, Azure, GCP, Vagrant, CSS. Domaine principal : DevOps / Cloud. Qualités personnelles : rigueur, communication, autonomie.",DevOps / Cloud,Grafana;Bash;Azure;Nginx;Infrastructure as Code;AWS;Load Balancing;GitLab CI,5,"Poste ouvert dans le domaine DevOps / Cloud, 5 ans d'expérience minimum requis. Compétences requises : Grafana, Bash, Azure, Nginx, Infrastructure as Code, AWS, Load Balancing, GitLab CI. Le candidat idéal maîtrise ces technologies et outils dans un contexte DevOps / Cloud.",73.06
Développement Logiciel,SASS;HTML;SOLID;TypeScript;Python;RabbitMQ;Git;JavaScript;React;Angular;PostgreSQL;Kafka,3,Bac+5 (Master / Ingénieur),"Amine - Bac+5 (Master / Ingénieur) - 3 années d'expérience professionnelle en Développement Logiciel. Expérience professionnelle de 3 ans incluant l'utilisation de SASS, HTML, SOLID, TypeScript, Python, RabbitMQ, Git, JavaScript, React, Angular, PostgreSQL, Kafka dans des projets Développement Logiciel. Qualités personnelles : leadership, communication, gestion du stress.",Réseaux / Systèmes,TCP/IP;Routage;PowerShell;VMware;Cisco;Linux;Windows Server;Supervision réseau,3,"Poste ouvert dans le domaine Réseaux / Systèmes, 3 ans d'expérience minimum requis. Compétences requises : TCP/IP, Routage, PowerShell, VMware, Cisco, Linux, Windows Server, Supervision réseau. Le candidat idéal maîtrise ces technologies et outils dans un contexte Réseaux / Systèmes.",50.01
Finance / Comptabilité,Analyse financière;IFRS;Budgétisation;Reporting financier;Fiscalité;Trésorerie,5,Doctorat (PhD),"Anis, Doctorat (PhD), 5 ans d'expérience dans le domaine Finance / Comptabilité. Compétences techniques maîtrisées : Analyse financière, IFRS, Budgétisation, Reporting financier, Fiscalité, Trésorerie. Domaine principal : Finance / Comptabilité. Qualités personnelles : esprit d'équipe, rigueur, esprit critique.",Réseaux / Systèmes,Windows Server;Linux;Cisco;VMware;VPN;Supervision réseau,7,"Nous recherchons un profil Réseaux / Systèmes justifiant d'au moins 7 ans d'expérience. Compétences requises : Windows Server, Linux, Cisco, VMware, VPN, Supervision réseau. Le candidat idéal maîtrise ces technologies et outils dans un contexte Réseaux / Systèmes.",37.75
DevOps / Cloud,GCP;CI/CD;Terraform;Infrastructure as Code;Jenkins;Monitoring;Linux;Ansible;Load Balancing;Bash;Tableau,9,Bac+2 (BTS/DUT),"Ines - Bac+2 (BTS/DUT) - 9 années d'expérience professionnelle en DevOps / Cloud. A travaillé pendant 9 ans sur des projets liés à DevOps / Cloud, en mettant en œuvre GCP, CI/CD, Terraform, Infrastructure as Code, Jenkins, Monitoring, Linux, Ansible, Load Balancing, Bash, Tableau. Qualités personnelles : communication, leadership, rigueur.",Finance / Comptabilité,Power BI;Trésorerie;Modélisation financière;Budgétisation;Fiscalité;Comptabilité générale;SAP;IFRS,3,"Nous recherchons un profil Finance / Comptabilité justifiant d'au moins 3 ans d'expérience. Compétences requises : Power BI, Trésorerie, Modélisation financière, Budgétisation, Fiscalité, Comptabilité générale, SAP, IFRS. Le candidat idéal maîtrise ces technologies et outils dans un contexte Finance / Comptabilité.",48.8
Marketing Digital,Google Ads;Branding;Marketing Automation;Réseaux sociaux;Google Analytics;SEA;HubSpot;Stratégie digitale;Facebook Ads;Growth Hacking,1,Doctorat (PhD),"Profil Marketing Digital avec 1 ans d'expérience. Diplôme : Doctorat (PhD). Compétences techniques maîtrisées : Google Ads, Branding, Marketing Automation, Réseaux sociaux, Google Analytics, SEA, HubSpot, Stratégie digitale, Facebook Ads, Growth Hacking. Domaine principal : Marketing Digital. Qualités personnelles : leadership, gestion du stress, esprit critique.",Marketing Digital,Marketing Automation;Copywriting;Content Marketing;Branding,2,"Nous recherchons un profil Marketing Digital justifiant d'au moins 2 ans d'expérience. Compétences requises : Marketing Automation, Copywriting, Content Marketing, Branding. Le candidat idéal maîtrise ces technologies et outils dans un contexte Marketing Digital.",52.57
